Start_Curve_ID,Model,Maturity,Mean_Volatility
8,HJM-PCA,20Y,0.2378359520950129
8,HJM-PCA,30Y,0.22512208094593533
8,VAE,1M,0.19078406514371773
8,VAE,3M,0.14757573008410657
8,VAE,6M,0.13711829589670865
8,VAE,1Y,0.13030482595897722
8,VAE,2Y,0.14619930816445953
8,VAE,3Y,0.15593387118176902
8,VAE,5Y,0.16541805831393433
8,VAE,7Y,0.1712528044645424
8,VAE,10Y,0.1782448823571125
8,VAE,20Y,0.1660708095009475
8,VAE,30Y,0.16369482808361074
9,Diffusion,1M,0.28579106072297755
9,Diffusion,3M,0.2174152635209309
9,Diffusion,6M,0.2165953863459742
9,Diffusion,1Y,0.22668395333904262
9,Diffusion,2Y,0.2760596885955164
9,Diffusion,3Y,0.3064701301172813
9,Diffusion,5Y,0.3266055232214445
9,Diffusion,7Y,0.32305665613606227
9,Diffusion,10Y,0.3080661338931796
9,Diffusion,20Y,0.27826426949443167
9,Diffusion,30Y,0.2568334400146909
9,HJM-PCA,1M,0.22731222096379428
9,HJM-PCA,3M,0.19020768541928518
9,HJM-PCA,6M,0.17792511486545748
9,HJM-PCA,1Y,0.1761515905715636
9,HJM-PCA,2Y,0.21412543729498804
9,HJM-PCA,3Y,0.2412811019581984
9,HJM-PCA,5Y,0.2625502671576057
9,HJM-PCA,7Y,0.26466701211812743
9,HJM-PCA,10Y,0.25822207890669635
9,HJM-PCA,20Y,0.24424048308254412
9,HJM-PCA,30Y,0.23175156596646826
9,VAE,1M,0.18503097998957432
9,VAE,3M,0.14002587525544657
9,VAE,6M,0.1298682882553475
9,VAE,1Y,0.12353991067443619
9,VAE,2Y,0.1414635023447637
9,VAE,3Y,0.15315500130722062
9,VAE,5Y,0.16421100131797556
9,VAE,7Y,0.17084804231175793
9,VAE,10Y,0.17761547938733976
9,VAE,20Y,0.16458221755810418
9,VAE,30Y,0.15865607462969705
10,Diffusion,1M,0.28814271784592876
10,Diffusion,3M,0.22062499995157142
10,Diffusion,6M,0.2216981734726934
10,Diffusion,1Y,0.2365026720109038
10,Diffusion,2Y,0.284471271680813
10,Diffusion,3Y,0.31168439917243745
10,Diffusion,5Y,0.33076318219577816
10,Diffusion,7Y,0.32708730197995506
10,Diffusion,10Y,0.31353499262048495
10,Diffusion,20Y,0.28496914917976324
10,Diffusion,30Y,0.25723812189800677
10,HJM-PCA,1M,0.23231772978871135
10,HJM-PCA,3M,0.19731618970809722
10,HJM-PCA,6M,0.18598327061361386
10,HJM-PCA,1Y,0.18487327084734456
10,HJM-PCA,2Y,0.22277677974824622
10,HJM-PCA,3Y,0.2502054097662677
10,HJM-PCA,5Y,0.27149011217333696
10,HJM-PCA,7Y,0.27323667621856296
10,HJM-PCA,10Y,0.2655514151181465
10,HJM-PCA,20Y,0.2495399616028649
10,HJM-PCA,30Y,0.23553737738410846
10,VAE,1M,0.1773431925985816
10,VAE,3M,0.14057189673507034
10,VAE,6M,0.13131382783966056
10,VAE,1Y,0.12702338773187272
10,VAE,2Y,0.14306841066502224
10,VAE,3Y,0.1535610915382118
10,VAE,5Y,0.16267496245289395
10,VAE,7Y,0.1686904233692669
10,VAE,10Y,0.1734951108853814
10,VAE,20Y,0.1628491906476754
10,VAE,30Y,0.16096991634536947
