Start_Curve_ID,Model,Maturity,Mean_Volatility
7,HJM-PCA,5Y,0.24849455100073214
7,HJM-PCA,7Y,0.248333640648144
7,HJM-PCA,10Y,0.24098895605590945
7,HJM-PCA,20Y,0.2281578553898635
7,HJM-PCA,30Y,0.21760967495390426
7,VAE,1M,0.12763569856939314
7,VAE,3M,0.10062649386156437
7,VAE,6M,0.09542061808857644
7,VAE,1Y,0.09432549982808251
7,VAE,2Y,0.11070442837621153
7,VAE,3Y,0.12752732423109814
7,VAE,5Y,0.1435449343147493
7,VAE,7Y,0.14821279991854333
7,VAE,10Y,0.1459060752919004
7,VAE,20Y,0.14292518903614518
7,VAE,30Y,0.13900182135954603
8,Diffusion,1M,0.09192050671156314
8,Diffusion,3M,0.07452535258633387
8,Diffusion,6M,0.08331105914061862
8,Diffusion,1Y,0.09709658015657373
8,Diffusion,2Y,0.125564820483859
8,Diffusion,3Y,0.14941039201394893
8,Diffusion,5Y,0.17453919831415035
8,Diffusion,7Y,0.18533415921715762
8,Diffusion,10Y,0.18450796602026504
8,Diffusion,20Y,0.18540716758100154
8,Diffusion,30Y,0.17692480929521467
8,HJM-PCA,1M,0.22910944125816254
8,HJM-PCA,3M,0.19500429697936245
8,HJM-PCA,6M,0.1848702182939883
8,HJM-PCA,1Y,0.1854168285284445
8,HJM-PCA,2Y,0.2223415039620657
8,HJM-PCA,3Y,0.24740082920932238
8,HJM-PCA,5Y,0.26388589353024644
8,HJM-PCA,7Y,0.2632590946664323
8,HJM-PCA,10Y,0.2537884199524142
8,HJM-PCA,20Y,0.23773297195439574
8,HJM-PCA,30Y,0.22504470533764082
8,VAE,1M,0.09280669580870277
8,VAE,3M,0.07383281185202242
8,VAE,6M,0.07092050245282411
8,VAE,1Y,0.07248804725497959
8,VAE,2Y,0.0945676637415607
8,VAE,3Y,0.11510867210571289
8,VAE,5Y,0.13798848001184746
8,VAE,7Y,0.14577867336828945
8,VAE,10Y,0.1457668125481201
8,VAE,20Y,0.14530034672899736
8,VAE,30Y,0.14127851075588221
9,Diffusion,1M,0.24608836633118622
9,Diffusion,3M,0.1985797908358195
9,Diffusion,6M,0.19928782159346087
9,Diffusion,1Y,0.20982038808792897
9,Diffusion,2Y,0.2501193821280048
9,Diffusion,3Y,0.28123704231180613
9,Diffusion,5Y,0.3034614152127489
9,Diffusion,7Y,0.2989935844677888
9,Diffusion,10Y,0.2785386265039512
9,Diffusion,20Y,0.25432918094507784
9,Diffusion,30Y,0.23655741876014041
9,HJM-PCA,1M,0.2274990676768339
9,HJM-PCA,3M,0.18983585094281116
9,HJM-PCA,6M,0.17720496805070268
9,HJM-PCA,1Y,0.1759501545195178
9,HJM-PCA,2Y,0.21421842302675742
9,HJM-PCA,3Y,0.24140621491641504
9,HJM-PCA,5Y,0.2626848448534594
9,HJM-PCA,7Y,0.2647562750628866
9,HJM-PCA,10Y,0.25827813875538574
9,HJM-PCA,20Y,0.24426150743954267
9,HJM-PCA,30Y,0.23176024877858295
9,VAE,1M,0.1582067687382825
9,VAE,3M,0.11630676172844075
9,VAE,6M,0.1108139905711075
9,VAE,1Y,0.11056035950480532
9,VAE,2Y,0.13417839150820898
9,VAE,3Y,0.14933544023315357
9,VAE,5Y,0.16337845772451046
9,VAE,7Y,0.16681475608987725
9,VAE,10Y,0.16418625150195829
9,VAE,20Y,0.15838610179153567
9,VAE,30Y,0.15393791978228802
10,Diffusion,1M,0.17219910701623126
10,Diffusion,3M,0.14333973429376087
10,Diffusion,6M,0.1505279503782871
10,Diffusion,1Y,0.16267442760440756
10,Diffusion,2Y,0.20228097130384004
10,Diffusion,3Y,0.23042493351194154
10,Diffusion,5Y,0.2607487149929775
10,Diffusion,7Y,0.27100491474862837
