simulation_id,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
131,4.523585557531778,4.535490512659361,4.550099649090844,4.5673545798221244,4.551812716548629,4.474643900720761,4.235404085900711,3.9872254809676146,3.743206371948398,4.1716688866565415,4.1716688866565415
132,4.238726397003361,4.268771717781183,4.311112921959507,4.385554266066613,4.49008924238629,4.538345285773846,4.555164060252378,4.551930559109829,4.607087372953282,5.2110169876462855,5.2110169876462855
133,6.392616397212627,6.427551804861675,6.474239549052091,6.547237234284554,6.613089177043544,6.583984546329629,6.373488957580353,6.1185502508392355,5.940466018203376,6.955373204789867,6.955373204789867
134,2.615139106155395,2.6543712867019242,2.7143979001726857,2.837508720291261,3.0867753733286354,3.331902145386483,3.8458335443893645,4.389130909559495,5.1246670257761915,5.688543176734757,5.688543176734757
135,1.6533613816274322,1.5566741162702,1.4180953747556357,1.1627082370890311,0.7277454259569023,0.3816940836346256,-0.02663550673117386,-0.09057016170193767,0.24141494795799243,1.0608620057169398,1.0608620057169398
136,1.95168850775923,1.9757533460425174,2.0115056849400186,2.0809998802869023,2.2059351474454494,2.309979049301627,2.520511202729643,2.7804662284245754,3.255562180977336,4.171675311495117,4.171675311495117
137,4.337736731763735,4.396633628120041,4.480090550402777,4.629160640560429,4.853911035103496,4.98626675393592,5.075451358448965,5.037661838667928,4.895253628518356,5.156181624008984,5.156181624008984
138,2.7996239641624125,2.825002608297644,2.8650562931084624,2.9510259002710115,3.136450490052309,3.3301733684911823,3.7714963824274395,4.270592720859347,4.9619625018469575,5.428768654701928,5.428768654701928
139,8.412575932214173,8.46912162480733,8.551178435349785,8.704683402039233,8.96402905554482,9.159157099966368,9.429024237592055,9.59644556359377,9.679248442363447,9.541867088050743,9.541867088050743
140,-0.47595658345060593,-0.4044143163439964,-0.29706131381159895,-0.08327979690579616,0.33229632247526375,0.725397416212721,1.488467664472278,2.2321502199118073,3.21270693544877,4.10711448125988,4.10711448125988
141,9.633840022119971,9.609038470035454,9.566469228618487,9.462341954825654,9.180527713426342,8.814492705904629,7.971739763962845,7.155674868546027,6.3103796917415,6.847571917667877,6.847571917667877
142,6.045630250593162,6.101124808668789,6.180727608542348,6.32643434223294,6.560669994878664,6.721902966780728,6.916343023539945,7.029351819490789,7.151830657250653,7.580524319060969,7.580524319060969
143,4.713411851213892,4.7314031328830115,4.7595022682508334,4.818622912085173,4.940153710506419,5.059366583819392,5.334116654233371,5.667062318160813,6.172541564418549,6.774290613333593,6.774290613333593
144,6.084837911494272,6.022484044806122,5.931245006862522,5.756088364230568,5.427826772860566,5.12448434345655,4.646495115511183,4.3676299669319425,4.266271606005388,4.752277537669762,4.752277537669762
145,4.5523932765798945,4.548424667600598,4.540714599605945,4.5185365353724745,4.443707929190008,4.330991540709767,4.080514927655019,3.8819787144144207,3.7768753328611395,4.398929600946073,4.398929600946073
146,4.03581579174115,4.0333126692750705,4.0291306597335295,4.018392264886524,3.980893408719525,3.9189000830001848,3.781854802929145,3.6657389813308106,3.5027687250878015,3.391496020211175,3.391496020211175
147,7.048245181652988,7.053217820386558,7.059133510728145,7.064954448292912,7.048941912775958,6.9984716397505515,6.881205977720181,6.824886651901449,6.943119794868265,7.820291184102215,7.820291184102215
148,4.422117512284708,4.416883024050998,4.410256638694702,4.400234203699654,4.383952249399358,4.364538918405816,4.352661866245725,4.374923523640857,4.338932281151644,3.9135748452710395,3.9135748452710395
149,5.969393527150188,6.09069546880571,6.263930966035697,6.579155044541984,7.085511852674263,7.437416821095328,7.806144049472998,7.879515347621332,7.704575801251519,7.826975406929812,7.826975406929812
150,2.1495784270239056,2.166303398793608,2.190998864153844,2.238048203378896,2.3155349536634704,2.3663674211550925,2.441902299061802,2.509951416311697,2.541110081812804,2.450411294990471,2.450411294990471
151,6.772616386448757,6.83879409542177,6.92731726769711,7.0665934111297775,7.200842950973774,7.164895439330763,6.764458003831425,6.16701158573525,5.405515692465905,6.136842189228851,6.136842189228851
152,4.404330659746989,4.395792515179629,4.3833398094580485,4.358884264954694,4.30532161545281,4.242565238012507,4.1505684008306165,4.1427209530449405,4.263632034517982,4.707543757074874,4.707543757074874
153,2.0871116098326423,2.08827000764024,2.0922037955407107,2.1068074671830654,2.153882636283375,2.21678891767729,2.4271870795844017,2.749819473989383,3.314088227733843,4.031625598798552,4.031625598798552
154,5.711778415963508,5.695210153415629,5.670306029155014,5.619678993435808,5.510178790647495,5.389511233441211,5.18930300365675,5.105945196454521,5.234107003886908,6.151823767217643,6.151823767217643
155,0.21207707303283646,0.1807251120488896,0.1368317482024603,0.05915666560482594,-0.06484365151730223,-0.15507525477821127,-0.19732451240179663,-0.05614249602872816,0.36863815318606385,1.1831990061298159,1.1831990061298159
156,4.498646326550748,4.508957283678834,4.526324412418202,4.566618413880389,4.659509297184107,4.759174150287223,5.0080593949499725,5.309374402593326,5.6951521756873085,5.763727137750067,5.763727137750067
157,2.3033888509451583,2.29531091704583,2.286865059062207,2.2817020534797945,2.30679473309527,2.366510929321133,2.604784138789228,2.964095212862502,3.5031050679525007,3.7184650078444785,3.7184650078444785
158,4.4368521467820266,4.538134807030066,4.682644377266422,4.945037176775742,5.363677597386379,5.650773206555688,5.953701045912352,6.038195802137773,6.002726601636224,6.513477280511165,6.513477280511165
159,6.4659767094369105,6.4990241285494035,6.540862384521608,6.597179376405231,6.60389119357865,6.485366459260651,6.024830763641079,5.457652141135914,4.780508543649566,5.331600347711769,5.331600347711769
160,5.630414386638894,5.744312659157224,5.911905069541129,6.2344800703696865,6.822239944194163,7.32953596254209,8.159263753098758,8.774351079228653,9.249440552804247,9.036197419312622,9.036197419312622
