DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
2002-04-08,1.752301133714577,1.7423881204042948,2.0098671706002973,2.5457,3.4693,4.0691,4.7893,5.2314,5.6461,6.0648,5.932
2002-04-09,1.7225606196444734,1.7225606196445615,2.0098671706002973,2.5137,3.4309,4.0317,4.7527,5.1939,5.6079,6.032,5.9075
2002-04-10,1.7126461320975204,1.7027311530409568,1.97026321007485,2.5046,3.4334,4.0358,4.7618,5.2109,5.6343,6.0619,5.9223
2002-04-11,1.7126461320975204,1.712646132097579,1.9603609944520544,2.5012,3.4158,4.0119,4.734,5.182,5.6056,6.0377,5.9016
2002-04-12,1.70273115304094,1.7027311530409568,1.9504582885356705,2.4609,3.3604,3.9502,4.6754,5.1318,5.5676,6.018,5.878
2002-04-15,1.70273115304094,1.712646132097579,1.9504582885356705,2.4363,3.3318,3.9219,4.6461,5.1015,5.5367,5.9922,5.8589
2002-04-16,1.70273115304094,1.7324746157305182,1.9603609944520544,2.4711,3.3771,3.9698,4.693,5.1462,5.5784,6.0283,5.8944
2002-04-17,1.70273115304094,1.7225606196445615,1.9108425609623443,2.4397,3.3633,3.9683,4.7141,5.1864,5.6395,6.1115,5.9666
2002-04-18,1.6928156824258207,1.712646132097579,1.900937402849204,2.401,3.3464,3.9642,4.7093,5.1727,5.6153,6.0921,5.9758
2002-04-19,1.6828997202036542,1.7225606196445615,1.900937402849204,2.3833,3.3423,3.955,4.6927,5.1545,5.5957,6.0588,5.9259
2002-04-22,1.6630663207428238,1.712646132097579,1.9108425609623443,2.3629,3.3345,3.948,4.6818,5.1406,5.5798,6.0485,5.9249
2002-04-23,1.6729832663255344,1.7225606196445615,1.9108425609623443,2.3749,3.3521,3.9623,4.6858,5.1364,5.5676,6.0317,5.9159
2002-04-24,1.6630663207428238,1.712646132097579,1.8811256148191502,2.2934,3.2504,3.8682,4.6027,5.0579,5.4931,5.9676,5.8604
2002-04-25,1.6729832663255344,1.7324746157305182,1.8910317541510426,2.297,3.2277,3.8445,4.5846,5.0439,5.4846,5.9749,5.877
2002-04-26,1.6729832663255344,1.7423881204042948,1.8910317541510426,2.2709,3.1954,3.8121,4.5526,5.0125,5.4536,5.9415,5.8399
2002-04-29,1.7225606196444734,1.772125686439308,1.920747228538948,2.311,3.2378,3.8594,4.6026,5.0595,5.494,5.9683,5.8664
2002-04-30,1.7622136557100436,1.7622136557099783,1.900937402849204,2.298,3.234,3.8567,4.5956,5.0475,5.475,5.9334,5.8264
2002-05-01,1.752301133714577,1.7622136557099783,1.900937402849204,2.2863,3.1931,3.8022,4.5404,5.0003,5.4392,5.9074,5.7865
2002-05-02,1.7324746157305781,1.7622136557099783,1.9108425609623443,2.3172,3.2328,3.8449,4.5865,5.0477,5.4855,5.9382,5.8026
2002-05-03,1.7225606196444734,1.7523011337145238,1.8712189848049965,2.2535,3.1658,3.7816,4.5267,4.9902,5.4311,5.8936,5.7642
2002-05-06,1.7324746157305781,1.772125686439308,1.8910317541510426,2.2643,3.1748,3.7982,4.5518,5.0162,5.4539,5.9026,5.7677
2002-05-07,1.7622136557100436,1.7523011337145238,1.8514042525353738,2.222,3.1307,3.7544,4.5179,4.9958,5.4502,5.9161,5.7683
2002-05-08,1.752301133714577,1.7523011337145238,1.900937402849204,2.3756,3.3119,3.9217,4.6668,5.1367,5.5841,6.0325,5.8718
2002-05-09,1.7324746157305781,1.7622136557099783,1.8910317541510426,2.3392,3.2581,3.8697,4.6231,5.0978,5.5495,6.0028,5.8422
2002-05-10,1.7225606196444734,1.7622136557099783,1.8712189848049965,2.2678,3.1821,3.7935,4.5507,5.0334,5.4974,5.9745,5.8157
2002-05-13,1.7622136557100436,1.7820372259512143,1.9108425609623443,2.344,3.2719,3.8781,4.6343,5.1207,5.5888,6.0604,5.8858
2002-05-14,1.7721256864392732,1.772125686439308,1.9405550922770163,2.437,3.3741,3.9685,4.7163,5.2023,5.6718,6.138,5.9506
2002-05-15,1.752301133714577,1.7523011337145238,1.920747228538948,2.3971,3.3209,3.9183,4.6714,5.1609,5.6357,6.1215,5.9477
2002-05-16,1.7324746157305781,1.7423881204042948,1.8910317541510426,2.3417,3.2549,3.8491,4.6017,5.0946,5.577,6.0868,5.9242
2002-05-17,1.7225606196444734,1.7523011337145238,1.9405550922770163,2.4573,3.3652,3.9405,4.6753,5.162,5.6415,6.1505,5.9864
2002-05-20,1.7225606196444734,1.7622136557099783,1.9306514056276776,2.3949,3.288,3.8663,4.6046,5.0923,5.5735,6.0949,5.9429
2002-05-21,1.7225606196444734,1.7423881204042948,1.9108425609623443,2.35,3.2462,3.8287,4.5651,5.0492,5.5284,6.0652,5.9356
2002-05-22,1.7126461320975204,1.7324746157305182,1.8910317541510426,2.3111,3.1848,3.7672,4.5084,4.9959,5.4789,6.0254,5.9008
2002-05-23,1.7225606196444734,1.7324746157305182,1.900937402849204,2.3651,3.2304,3.8006,4.5354,5.0239,5.5096,6.0529,5.916
2002-05-24,1.70273115304094,1.7324746157305182,1.900937402849204,2.3831,3.2478,3.8103,4.5363,5.0217,5.5067,6.0547,5.9217
2002-05-28,1.7225606196444734,1.7622136557099783,1.9306514056276776,2.4024,3.2567,3.8111,4.5322,5.0175,5.5042,6.0569,5.9234
2002-05-29,1.7225606196444734,1.7423881204042948,1.900937402849204,2.3396,3.19,3.7481,4.4721,4.9591,5.4497,6.0236,5.9083
2002-05-30,1.7225606196444734,1.7423881204042948,1.8910317541510426,2.2825,3.1273,3.6909,4.418,4.9049,5.3964,5.9849,5.887
2002-05-31,1.7126461320975204,1.7324746157305182,1.900937402849204,2.3312,3.1684,3.7146,4.4334,4.9238,5.4222,6.0119,5.8965
2002-06-03,1.7126461320975204,1.7622136557099783,1.920747228538948,2.3121,3.1461,3.6912,4.4125,4.9076,5.4126,6.013,5.8968
2002-06-04,1.7225606196444734,1.7523011337145238,1.8910317541510426,2.265,3.0868,3.6395,4.3749,4.8795,5.3944,6.0082,5.8919
2002-06-05,1.7423881204043514,1.7423881204042948,1.8910317541510426,2.3007,3.128,3.674,4.408,4.917,5.4378,6.0526,5.9235
2002-06-06,1.7324746157305781,1.7324746157305182,1.8712189848049965,2.2694,3.0866,3.6355,4.3699,4.8767,5.3952,6.0142,5.8958
2002-06-07,1.7324746157305781,1.7324746157305182,1.8811256148191502,2.3014,3.1309,3.6882,4.4308,4.9404,5.4586,6.0652,5.9355
2002-06-10,1.7423881204043514,1.7523011337145238,1.8811256148191502,2.292,3.1248,3.6776,4.4084,4.9076,5.4144,6.008,5.8832
2002-06-11,1.7423881204043514,1.7423881204042948,1.861311864059915,2.223,3.0699,3.6337,4.3651,4.8591,5.3606,5.9664,5.8688
2002-06-12,1.7324746157305781,1.7324746157305182,1.8414961501826155,2.2047,3.0328,3.5923,4.3244,4.8206,5.3252,5.9356,5.8367
2002-06-13,1.70273115304094,1.712646132097579,1.8117688976692266,2.1635,2.9853,3.5476,4.2816,4.778,5.2842,5.9093,5.8261
2002-06-14,1.70273115304094,1.7027311530409568,1.7919482742943513,2.092,2.8892,3.45,4.1835,4.6781,5.1821,5.8085,5.732
2002-06-17,1.6928156824258207,1.7324746157305182,1.8414961501826155,2.1216,2.9329,3.4936,4.2312,4.7332,5.246,5.8752,5.7835
2002-06-18,1.6928156824258207,1.7225606196445615,1.8117688976692266,2.0995,2.9059,3.4735,4.218,4.7214,5.2345,5.8681,5.7841
2002-06-19,1.6828997202036542,1.7027311530409568,1.7622136557099999,2.0081,2.7828,3.3483,4.0985,4.6085,5.1319,5.7956,5.7283
2002-06-20,1.6729832663255344,1.7225606196445615,1.8018588315174933,2.117,2.8981,3.4545,4.1923,4.6956,5.2127,5.8659,5.7945
2002-06-21,1.6729832663255344,1.712646132097579,1.782037225951219,2.0867,2.8497,3.4041,4.1384,4.6372,5.1499,5.8074,5.7506
